"","AGB_Change","Plot","PercentRemoved"
"1",-1759.6468206789,"ACDG_P015",25
"2",-10945.8894794255,"ACDG_P015",50
"3",-9169.2306089474,"ACDG_P015",100
"4",-6352.52647024571,"ACDG_P015",25
"5",-2990.40482942449,"ACDG_P015",50
"6",-4869.886160433,"ACDG_P015",100
"7",-3658.39327464494,"ACDG_P015",25
"8",-3494.54633012626,"ACDG_P015",50
"9",-18524.4780617787,"ACDG_P015",100
"10",-4564.26731819467,"ACDG_P015",25
"11",-9963.41523734518,"ACDG_P015",50
"12",-11283.7933393794,"ACDG_P015",100
"13",-6079.93927225715,"ACDG_P015",25
"14",-8805.57287562915,"ACDG_P015",50
"15",-20019.9955719723,"ACDG_P015",100
"16",3776.51660460047,"ACDG_P015",25
"17",-8306.17066187723,"ACDG_P015",50
"18",-17194.9420888655,"ACDG_P015",100
"19",-5377.42939090787,"ACDG_P015",25
"20",-6914.17801901966,"ACDG_P015",50
"21",-7253.79921807212,"ACDG_P015",100
"22",-2614.89536986817,"ACDG_P015",25
"23",-6238.94497915739,"ACDG_P015",50
"24",-8862.8781080608,"ACDG_P015",100
"25",-976.316881808772,"ACDG_P015",25
"26",-7117.45620145084,"ACDG_P015",50
"27",-10612.4557478609,"ACDG_P015",100
"28",-1900.96525934307,"ACDG_P015",25
"29",-3385.24666870822,"ACDG_P015",50
"30",-12490.33526531,"ACDG_P015",100
"31",-844.896845202165,"ACDG_P015",25
"32",-11353.1722486263,"ACDG_P015",50
"33",-1508.20549070532,"ACDG_P015",100
"34",-6936.19293700808,"ACDG_P015",25
"35",-4383.98200545477,"ACDG_P015",50
"36",-11553.4865966753,"ACDG_P015",100
"37",5018.33301418929,"ACDG_P015",25
"38",-1075.65496329605,"ACDG_P015",50
"39",-10496.4135997555,"ACDG_P015",100
"40",-7749.25552581574,"ACDG_P015",25
"41",-9092.39553720446,"ACDG_P015",50
"42",-14596.114402169,"ACDG_P015",100
"43",-1266.08010486388,"ACDG_P015",25
"44",-4955.67762190622,"ACDG_P015",50
"45",-12721.6599666128,"ACDG_P015",100
"46",-6959.25029303861,"ACDG_P015",25
"47",-11557.7301705497,"ACDG_P015",50
"48",-1520.45736089928,"ACDG_P015",100
"49",-6065.10534146172,"ACDG_P015",25
"50",-4880.23910865473,"ACDG_P015",50
"51",-11269.487823612,"ACDG_P015",100
"52",-5586.33793245553,"ACDG_P015",25
"53",-8740.05755043795,"ACDG_P015",50
"54",-18249.2630293695,"ACDG_P015",100
"55",-6287.51797106533,"ACDG_P015",25
"56",-4455.68004003909,"ACDG_P015",50
"57",-19075.0235660119,"ACDG_P015",100
"58",-2131.77202819349,"ACDG_P015",25
"59",-7879.72245943945,"ACDG_P015",50
"60",-18492.5233885966,"ACDG_P015",100
"61",1508.88993037125,"ACDG_P015",25
"62",-8568.33473757369,"ACDG_P015",50
"63",-14605.0374866445,"ACDG_P015",100
"64",-1438.05682789444,"ACDG_P015",25
"65",-11540.5774215232,"ACDG_P015",50
"66",-18743.3074719319,"ACDG_P015",100
"67",3931.00521360128,"ACDG_P015",25
"68",-636.670136271743,"ACDG_P015",50
"69",-15311.885332026,"ACDG_P015",100
"70",-8393.8368017746,"ACDG_P015",25
"71",-8695.13741963872,"ACDG_P015",50
"72",-17528.2219022884,"ACDG_P015",100
"73",9470.38837925598,"ACDG_P015",25
"74",-4850.98303919501,"ACDG_P015",50
"75",-10618.2273456976,"ACDG_P015",100
"76",-11650.5157438073,"ACDG_P015",25
"77",-11054.1794637952,"ACDG_P015",50
"78",-18480.0256970131,"ACDG_P015",100
"79",-3454.77676172019,"ACDG_P015",25
"80",-3309.65662161901,"ACDG_P015",50
"81",-19295.5518757938,"ACDG_P015",100
"82",-3314.27927132329,"ACDG_P015",25
"83",-4960.9422813803,"ACDG_P015",50
"84",-12670.3281075556,"ACDG_P015",100
"85",-1768.61897074687,"ACDG_P015",25
"86",-13827.4223817483,"ACDG_P015",50
"87",-19164.9651475283,"ACDG_P015",100
"88",-3230.52221043315,"ACDG_P015",25
"89",-12708.2018084899,"ACDG_P015",50
"90",-14846.7226229665,"ACDG_P015",100
"91",-6290.96813457005,"ACDG_P015",25
"92",-8375.88376118906,"ACDG_P015",50
"93",-5387.98770975566,"ACDG_P015",100
"94",-9304.92493063127,"ACDG_P015",25
"95",-8710.86504140557,"ACDG_P015",50
"96",-19890.3330417808,"ACDG_P015",100
"97",-2131.34756852387,"ACDG_P015",25
"98",-12856.5863737931,"ACDG_P015",50
"99",-12970.7120059163,"ACDG_P015",100
"100",-6435.49812956754,"ACDG_P015",25
"101",-12211.0890184718,"ACDG_P015",50
"102",-20788.7759587617,"ACDG_P015",100
"103",-2883.30749124978,"ACDG_P015",25
"104",-7586.76329082798,"ACDG_P015",50
"105",1785.29400165199,"ACDG_P015",100
"106",-9170.58942536803,"ACDG_P015",25
"107",-13204.0696841884,"ACDG_P015",50
"108",-20123.9205315074,"ACDG_P015",100
"109",-7678.15671692451,"ACDG_P015",25
"110",-15173.5394549896,"ACDG_P015",50
"111",-10336.1553726157,"ACDG_P015",100
"112",-1360.98895566282,"ACDG_P015",25
"113",-4075.51399301988,"ACDG_P015",50
"114",-17152.6625102149,"ACDG_P015",100
"115",-5413.05733894755,"ACDG_P015",25
"116",-7413.41283176525,"ACDG_P015",50
"117",-10884.6826056786,"ACDG_P015",100
