"","Taxa","Network","Dispersed","Variable","Mean","Lower_CI","Upper_CI"
"1","Endangered","Imputed","Yes","AGB",0.804,0.804,0.805
"2","Endangered","Imputed","Yes","DBH",25.653,25.65,25.656
"3","Endangered","Imputed","Yes","WD",0.612,0.612,0.612
"4","Endangered","Observed","Yes","AGB",0.811,0.79,0.832
"5","Endangered","Observed","Yes","DBH",25.867,25.701,26.032
"6","Endangered","Observed","Yes","WD",0.612,0.61,0.613
"7","Elephant","Imputed","Yes","AGB",0.825,0.825,0.826
"8","Elephant","Imputed","Yes","DBH",26.079,26.075,26.084
"9","Elephant","Imputed","Yes","WD",0.612,0.612,0.612
"10","Elephant","Observed","Yes","AGB",0.822,0.797,0.848
"11","Elephant","Observed","Yes","DBH",26.097,25.903,26.292
"12","Elephant","Observed","Yes","WD",0.611,0.609,0.613
"13","Ape","Imputed","Yes","AGB",0.812,0.811,0.812
"14","Ape","Imputed","Yes","DBH",25.865,25.863,25.867
"15","Ape","Imputed","Yes","WD",0.608,0.608,0.608
"16","Ape","Observed","Yes","AGB",0.816,0.794,0.838
"17","Ape","Observed","Yes","DBH",25.966,25.793,26.139
"18","Ape","Observed","Yes","WD",0.608,0.606,0.609
"19","Monkey","Imputed","Yes","AGB",0.807,0.806,0.807
"20","Monkey","Imputed","Yes","DBH",25.65,25.646,25.654
"21","Monkey","Imputed","Yes","WD",0.611,0.611,0.611
"22","Monkey","Observed","Yes","AGB",0.809,0.788,0.829
"23","Monkey","Observed","Yes","DBH",25.955,25.791,26.119
"24","Monkey","Observed","Yes","WD",0.611,0.61,0.613
"25","Bat","Imputed","Yes","AGB",0.823,0.821,0.825
"26","Bat","Imputed","Yes","DBH",26.801,26.783,26.819
"27","Bat","Imputed","Yes","WD",0.485,0.485,0.486
"28","Bat","Observed","Yes","AGB",0.817,0.721,0.913
"29","Bat","Observed","Yes","DBH",27.066,26.49,27.641
"30","Bat","Observed","Yes","WD",0.454,0.447,0.461
"31","Bird","Imputed","Yes","AGB",0.751,0.75,0.752
"32","Bird","Imputed","Yes","DBH",25.748,25.743,25.754
"33","Bird","Imputed","Yes","WD",0.599,0.599,0.599
"34","Bird","Observed","Yes","AGB",0.723,0.705,0.74
"35","Bird","Observed","Yes","DBH",25.532,25.359,25.704
"36","Bird","Observed","Yes","WD",0.598,0.596,0.6
"37","Carnivore","Imputed","Yes","AGB",0.682,0.68,0.684
"38","Carnivore","Imputed","Yes","DBH",25.479,25.464,25.495
"39","Carnivore","Imputed","Yes","WD",0.547,0.546,0.547
"40","Carnivore","Observed","Yes","AGB",0.569,0.54,0.598
"41","Carnivore","Observed","Yes","DBH",24.952,24.653,25.251
"42","Carnivore","Observed","Yes","WD",0.5,0.497,0.504
"43","Ungulate","Imputed","Yes","AGB",0.773,0.772,0.774
"44","Ungulate","Imputed","Yes","DBH",25.435,25.431,25.439
"45","Ungulate","Imputed","Yes","WD",0.603,0.602,0.603
"46","Ungulate","Observed","Yes","AGB",0.753,0.734,0.771
"47","Ungulate","Observed","Yes","DBH",25.429,25.258,25.599
"48","Ungulate","Observed","Yes","WD",0.594,0.593,0.596
"49","Endangered","Imputed","No","AGB",0.741,0.74,0.741
"50","Endangered","Imputed","No","DBH",23.481,23.478,23.483
"51","Endangered","Imputed","No","WD",0.636,0.636,0.636
"52","Endangered","Observed","No","AGB",0.739,0.723,0.755
"53","Endangered","Observed","No","DBH",23.436,23.301,23.571
"54","Endangered","Observed","No","WD",0.636,0.635,0.637
"55","Elephant","Imputed","No","AGB",0.742,0.742,0.742
"56","Elephant","Imputed","No","DBH",23.652,23.65,23.653
"57","Elephant","Imputed","No","WD",0.633,0.633,0.633
"58","Elephant","Observed","No","AGB",0.745,0.73,0.759
"59","Elephant","Observed","No","DBH",23.691,23.566,23.815
"60","Elephant","Observed","No","WD",0.632,0.632,0.633
"61","Ape","Imputed","No","AGB",0.74,0.74,0.74
"62","Ape","Imputed","No","DBH",23.487,23.486,23.488
"63","Ape","Imputed","No","WD",0.637,0.637,0.637
"64","Ape","Observed","No","AGB",0.739,0.723,0.754
"65","Ape","Observed","No","DBH",23.475,23.344,23.607
"66","Ape","Observed","No","WD",0.637,0.636,0.638
"67","Monkey","Imputed","No","AGB",0.736,0.736,0.737
"68","Monkey","Imputed","No","DBH",23.395,23.392,23.398
"69","Monkey","Imputed","No","WD",0.638,0.638,0.638
"70","Monkey","Observed","No","AGB",0.74,0.724,0.756
"71","Monkey","Observed","No","DBH",23.367,23.231,23.502
"72","Monkey","Observed","No","WD",0.636,0.635,0.637
"73","Bat","Imputed","No","AGB",0.764,0.763,0.764
"74","Bat","Imputed","No","DBH",24.236,24.235,24.237
"75","Bat","Imputed","No","WD",0.634,0.634,0.635
"76","Bat","Observed","No","AGB",0.764,0.752,0.777
"77","Bat","Observed","No","DBH",24.245,24.139,24.351
"78","Bat","Observed","No","WD",0.635,0.634,0.636
"79","Bird","Imputed","No","AGB",0.774,0.774,0.774
"80","Bird","Imputed","No","DBH",23.735,23.733,23.738
"81","Bird","Imputed","No","WD",0.639,0.639,0.639
"82","Bird","Observed","No","AGB",0.786,0.769,0.802
"83","Bird","Observed","No","DBH",23.878,23.748,24.008
"84","Bird","Observed","No","WD",0.638,0.638,0.639
"85","Carnivore","Imputed","No","AGB",0.779,0.779,0.78
"86","Carnivore","Imputed","No","DBH",24.211,24.209,24.214
"87","Carnivore","Imputed","No","WD",0.638,0.638,0.638
"88","Carnivore","Observed","No","AGB",0.787,0.773,0.8
"89","Carnivore","Observed","No","DBH",24.317,24.206,24.429
"90","Carnivore","Observed","No","WD",0.639,0.638,0.64
"91","Ungulate","Imputed","No","AGB",0.763,0.762,0.763
"92","Ungulate","Imputed","No","DBH",23.661,23.658,23.664
"93","Ungulate","Imputed","No","WD",0.643,0.643,0.643
"94","Ungulate","Observed","No","AGB",0.774,0.757,0.791
"95","Ungulate","Observed","No","DBH",23.817,23.685,23.949
"96","Ungulate","Observed","No","WD",0.644,0.643,0.644
