"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-24755.5213910755
"2","ACDG_P015",1,50,-50713.44542611
"3","ACDG_P015",1,100,-100068.316609936
"4","ACDG_P015",2,25,-25951.6089809302
"5","ACDG_P015",2,50,-51617.9902514345
"6","ACDG_P015",2,100,-98591.425382309
"7","ACDG_P015",3,25,-27436.7395942892
"8","ACDG_P015",3,50,-55830.1903738477
"9","ACDG_P015",3,100,-110500.367500645
"10","ACDG_P015",4,25,-30000.7330500457
"11","ACDG_P015",4,50,-57141.697747963
"12","ACDG_P015",4,100,-110047.287164332
"13","ACDG_P015",5,25,-25491.7839657368
"14","ACDG_P015",5,50,-50501.1703885017
"15","ACDG_P015",5,100,-98808.2166769653
"16","ACDG_P015",6,25,-26313.5531913303
"17","ACDG_P015",6,50,-51034.342772873
"18","ACDG_P015",6,100,-99865.5118401798
"19","ACDG_P015",7,25,-25261.0549725566
"20","ACDG_P015",7,50,-49443.4335480174
"21","ACDG_P015",7,100,-101468.524745279
"22","ACDG_P015",8,25,-25060.2463076685
"23","ACDG_P015",8,50,-48759.5946479504
"24","ACDG_P015",8,100,-98466.2889386711
"25","ACDG_P015",9,25,-24493.6923328096
"26","ACDG_P015",9,50,-51262.3133921334
"27","ACDG_P015",9,100,-98498.5249610634
"28","ACDG_P015",10,25,-25405.7465710724
"29","ACDG_P015",10,50,-50968.0639412659
"30","ACDG_P015",10,100,-99804.372407331
"31","ACDG_P015",11,25,-26466.65625267
"32","ACDG_P015",11,50,-50696.6350726763
"33","ACDG_P015",11,100,-98536.6509930782
"34","ACDG_P015",12,25,-27148.1815323698
"35","ACDG_P015",12,50,-50719.8005268817
"36","ACDG_P015",12,100,-99553.7665427699
"37","ACDG_P015",13,25,-25521.5819155826
"38","ACDG_P015",13,50,-49969.1775617195
"39","ACDG_P015",13,100,-99160.3830460868
"40","ACDG_P015",14,25,-25289.8916653193
"41","ACDG_P015",14,50,-50472.5307031145
"42","ACDG_P015",14,100,-98538.8923260713
"43","ACDG_P015",15,25,-24662.4201863659
"44","ACDG_P015",15,50,-49599.1265625711
"45","ACDG_P015",15,100,-99426.6629390387
"46","ACDG_P015",16,25,-25839.4549945937
"47","ACDG_P015",16,50,-55279.6306767356
"48","ACDG_P015",16,100,-108637.84036019
"49","ACDG_P015",17,25,-26405.0925401675
"50","ACDG_P015",17,50,-50728.6881389777
"51","ACDG_P015",17,100,-100645.910074264
"52","ACDG_P015",18,25,-27990.4296056169
"53","ACDG_P015",18,50,-56062.5111049779
"54","ACDG_P015",18,100,-111154.734846011
"55","ACDG_P015",19,25,-26218.2199023859
"56","ACDG_P015",19,50,-51082.1784238403
"57","ACDG_P015",19,100,-100026.30655134
"58","ACDG_P015",20,25,-28598.2865989645
"59","ACDG_P015",20,50,-55205.4446898878
"60","ACDG_P015",20,100,-110393.950354432
"61","ACDG_P015",21,25,-25165.8979536876
"62","ACDG_P015",21,50,-48808.7199704635
"63","ACDG_P015",21,100,-99838.0079404295
"64","ACDG_P015",22,25,-25378.9648081011
"65","ACDG_P015",22,50,-50237.5123997271
"66","ACDG_P015",22,100,-98013.9082540282
"67","ACDG_P015",23,25,-23326.9450286775
"68","ACDG_P015",23,50,-50645.251863979
"69","ACDG_P015",23,100,-100276.423659019
"70","ACDG_P015",24,25,-27619.8556463152
"71","ACDG_P015",24,50,-53475.0047009742
"72","ACDG_P015",24,100,-111586.813561508
"73","ACDG_P015",25,25,-27758.884222566
"74","ACDG_P015",25,50,-55510.3307375035
"75","ACDG_P015",25,100,-109956.123417655
"76","ACDG_P015",26,25,-26837.656106353
"77","ACDG_P015",26,50,-54166.9550901339
"78","ACDG_P015",26,100,-110448.996567408
"79","ACDG_P015",27,25,-26974.7548404486
"80","ACDG_P015",27,50,-49987.9724999257
"81","ACDG_P015",27,100,-100307.339113391
"82","ACDG_P015",28,25,-26016.4764406123
"83","ACDG_P015",28,50,-50471.6076077152
