"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-15562.824799156
"2","ACDG_P015",1,50,-30453.8668858194
"3","ACDG_P015",1,100,-62288.4282724915
"4","ACDG_P015",2,25,-16252.1510673595
"5","ACDG_P015",2,50,-33434.4995255406
"6","ACDG_P015",2,100,-62048.1121241958
"7","ACDG_P015",3,25,-19171.4796014666
"8","ACDG_P015",3,50,-34769.8082587771
"9","ACDG_P015",3,100,-68067.4881998793
"10","ACDG_P015",4,25,-16700.5557339702
"11","ACDG_P015",4,50,-32545.8641996069
"12","ACDG_P015",4,100,-62575.7842330701
"13","ACDG_P015",5,25,-16197.9441811235
"14","ACDG_P015",5,50,-32177.6007861071
"15","ACDG_P015",5,100,-64220.5451810649
"16","ACDG_P015",6,25,-15547.1674339158
"17","ACDG_P015",6,50,-34057.2535199895
"18","ACDG_P015",6,100,-61798.02183013
"19","ACDG_P015",7,25,-15491.9691226235
"20","ACDG_P015",7,50,-29980.9039604074
"21","ACDG_P015",7,100,-61141.9961077363
"22","ACDG_P015",8,25,-17476.4967266422
"23","ACDG_P015",8,50,-33256.717444509
"24","ACDG_P015",8,100,-63576.423280294
"25","ACDG_P015",9,25,-16238.4484745559
"26","ACDG_P015",9,50,-31814.1876791416
"27","ACDG_P015",9,100,-61031.6653622752
"28","ACDG_P015",10,25,-15830.807429486
"29","ACDG_P015",10,50,-31963.4146407967
"30","ACDG_P015",10,100,-60538.811002666
"31","ACDG_P015",11,25,-17015.0425638684
"32","ACDG_P015",11,50,-31914.9120169911
"33","ACDG_P015",11,100,-62994.6323429184
"34","ACDG_P015",12,25,-14865.0869469857
"35","ACDG_P015",12,50,-30661.3091916646
"36","ACDG_P015",12,100,-62182.2253200394
"37","ACDG_P015",13,25,-12958.43120063
"38","ACDG_P015",13,50,-31254.3942403683
"39","ACDG_P015",13,100,-61600.6900137484
"40","ACDG_P015",14,25,-16504.1364872983
"41","ACDG_P015",14,50,-35141.6824837697
"42","ACDG_P015",14,100,-63319.3377770573
"43","ACDG_P015",15,25,-16864.3954231985
"44","ACDG_P015",15,50,-32184.7347876439
"45","ACDG_P015",15,100,-61817.2159858685
"46","ACDG_P015",16,25,-14746.8661277718
"47","ACDG_P015",16,50,-29618.1392914303
"48","ACDG_P015",16,100,-60170.7128625236
"49","ACDG_P015",17,25,-16787.1515687668
"50","ACDG_P015",17,50,-33059.1769415098
"51","ACDG_P015",17,100,-62545.1206239918
"52","ACDG_P015",18,25,-15599.8166319606
"53","ACDG_P015",18,50,-30524.5002915175
"54","ACDG_P015",18,100,-63961.1382139484
"55","ACDG_P015",19,25,-15229.4637901493
"56","ACDG_P015",19,50,-31481.3081373727
"57","ACDG_P015",19,100,-60778.3596660176
"58","ACDG_P015",20,25,-16357.1192653294
"59","ACDG_P015",20,50,-31109.7197955997
"60","ACDG_P015",20,100,-61279.6275034031
"61","ACDG_P015",21,25,-15451.8338743734
"62","ACDG_P015",21,50,-31820.5054263226
"63","ACDG_P015",21,100,-62440.9840192726
"64","ACDG_P015",22,25,-15087.9866687748
"65","ACDG_P015",22,50,-31648.8253098762
"66","ACDG_P015",22,100,-61192.046861717
"67","ACDG_P015",23,25,-17465.4820571568
"68","ACDG_P015",23,50,-35134.0234502149
"69","ACDG_P015",23,100,-68931.6391306771
"70","ACDG_P015",24,25,-13474.7194598454
"71","ACDG_P015",24,50,-30636.0874213869
"72","ACDG_P015",24,100,-60773.0707313152
"73","ACDG_P015",25,25,-15766.7330705115
"74","ACDG_P015",25,50,-33232.4910993324
"75","ACDG_P015",25,100,-60957.0413095236
"76","ACDG_P015",26,25,-16610.5165891031
"77","ACDG_P015",26,50,-34344.1736483336
"78","ACDG_P015",26,100,-68204.8409877061
"79","ACDG_P015",27,25,-16306.8893332897
"80","ACDG_P015",27,50,-32596.0864843191
"81","ACDG_P015",27,100,-63878.4262013788
"82","ACDG_P015",28,25,-12782.155424707
"83","ACDG_P015",28,50,-28574.5163127989
"84","ACDG_P015",28,100,-61434.2290885944
"85","ACDG_P015",29,25,-16664.5616976204
"86","ACDG_P015",29,50,-30527.4694287992
"87","ACDG_P015",29,100,-61207.3441653168
"88","ACDG_P015",30,25,-14372.1710197653
"89","ACDG_P015",30,50,-30671.3814953847
"90","ACDG_P015",30,100,-62747.8647696487
"91","ACDG_P015",31,25,-16257.0229682351
"92","ACDG_P015",31,50,-33919.2069422235
"93","ACDG_P015",31,100,-61923.226416298
"94","ACDG_P015",32,25,-15485.8868982279
"95","ACDG_P015",32,50,-34170.4305415947
"96","ACDG_P015",32,100,-62325.9432117798
"97","ACDG_P015",33,25,-13199.0277453864
"98","ACDG_P015",33,50,-32040.5015336819
"99","ACDG_P015",33,100,-62430.7671243847
"100","ACDG_P015",34,25,-15603.7952229493
"101","ACDG_P015",34,50,-30529.0332720936
"102","ACDG_P015",34,100,-61472.1619853929
"103","ACDG_P015",35,25,-13885.4687954127
"104","ACDG_P015",35,50,-29712.3532930072
"105","ACDG_P015",35,100,-60677.7489255425
"106","ACDG_P015",36,25,-16745.3396203838
"107","ACDG_P015",36,50,-30981.1482198498
"108","ACDG_P015",36,100,-61199.1552305789
"109","ACDG_P015",37,25,-15763.8435747185
"110","ACDG_P015",37,50,-31746.6485561519
"111","ACDG_P015",37,100,-61821.1901693291
"112","ACDG_P015",38,25,-13633.2056972742
"113","ACDG_P015",38,50,-31312.6537735293
"114","ACDG_P015",38,100,-61421.8893725463
"115","ACDG_P015",39,25,-14456.440435725
"116","ACDG_P015",39,50,-31181.4218706798
"117","ACDG_P015",39,100,-63639.2318770674
"118","ACDG_P015",40,25,-16160.1238459001
"119","ACDG_P015",40,50,-32983.3426495924
"120","ACDG_P015",40,100,-61867.8211948324
"121","ACDG_P015",41,25,-16305.9410094479
"122","ACDG_P015",41,50,-32940.5193503894
"123","ACDG_P015",41,100,-62176.4125612476
"124","ACDG_P015",42,25,-15254.3542879337
"125","ACDG_P015",42,50,-30686.2486663762
"126","ACDG_P015",42,100,-64324.0917857957
"127","ACDG_P015",43,25,-14545.5607881878
"128","ACDG_P015",43,50,-30505.8856983527
"129","ACDG_P015",43,100,-60192.9702346129
"130","ACDG_P015",44,25,-15148.5038826761
"131","ACDG_P015",44,50,-32090.3894246113
"132","ACDG_P015",44,100,-62345.1200555215
"133","ACDG_P015",45,25,-15837.9935469835
"134","ACDG_P015",45,50,-31744.1345111694
"135","ACDG_P015",45,100,-62008.9108796836
"136","ACDG_P015",46,25,-15203.6942568668
"137","ACDG_P015",46,50,-32678.2168785326
"138","ACDG_P015",46,100,-63747.1883844323
"139","ACDG_P015",47,25,-13738.7073933045
"140","ACDG_P015",47,50,-28882.8827730573
"141","ACDG_P015",47,100,-61397.5422122928
"142","ACDG_P015",48,25,-13017.2959604612
"143","ACDG_P015",48,50,-30978.4445221101
"144","ACDG_P015",48,100,-61736.4658727843
"145","ACDG_P015",49,25,-15788.8606187657
"146","ACDG_P015",49,50,-30076.4606311443
"147","ACDG_P015",49,100,-61761.8806933855
"148","ACDG_P015",50,25,-14822.6494227553
"149","ACDG_P015",50,50,-32375.7792536944
"150","ACDG_P015",50,100,-61127.3750177503
"151","ACDG_P015",51,25,-14676.7456088082
"152","ACDG_P015",51,50,-29243.8954073566
"153","ACDG_P015",51,100,-64473.1650222889
"154","ACDG_P015",52,25,-15349.9515229519
"155","ACDG_P015",52,50,-29795.3205731745
"156","ACDG_P015",52,100,-61390.748737593
"157","ACDG_P015",53,25,-16681.7232572616
"158","ACDG_P015",53,50,-32402.5959775293
"159","ACDG_P015",53,100,-62119.7222481367
"160","ACDG_P015",54,25,-16695.8599065074
"161","ACDG_P015",54,50,-33822.5999974545
"162","ACDG_P015",54,100,-61863.6285366153
"163","ACDG_P015",55,25,-14590.133167258
"164","ACDG_P015",55,50,-32971.8404435958
"165","ACDG_P015",55,100,-62248.9216998923
"166","ACDG_P015",56,25,-13319.2537993604
"167","ACDG_P015",56,50,-30111.9273733911
"168","ACDG_P015",56,100,-61239.8053099243
"169","ACDG_P015",57,25,-18649.609580219
"170","ACDG_P015",57,50,-33154.8313123569
"171","ACDG_P015",57,100,-62528.758937405
"172","ACDG_P015",58,25,-14175.0630229446
"173","ACDG_P015",58,50,-30088.4218655427
"174","ACDG_P015",58,100,-60842.9502780372
"175","ACDG_P015",59,25,-16561.6231591613
"176","ACDG_P015",59,50,-33773.5231545499
"177","ACDG_P015",59,100,-61023.1078864177
"178","ACDG_P015",60,25,-17348.787710509
"179","ACDG_P015",60,50,-30843.9080402055
"180","ACDG_P015",60,100,-60606.6599751359
"181","ACDG_P015",61,25,-13183.8256329264
"182","ACDG_P015",61,50,-30659.3646042192
"183","ACDG_P015",61,100,-61991.7141806459
"184","ACDG_P015",62,25,-13502.5496142493
"185","ACDG_P015",62,50,-30395.4278062815
"186","ACDG_P015",62,100,-61794.7566699276
"187","ACDG_P015",63,25,-15220.3434109613
"188","ACDG_P015",63,50,-29477.7450436032
"189","ACDG_P015",63,100,-63027.4258559033
"190","ACDG_P015",64,25,-17208.2958983821
"191","ACDG_P015",64,50,-35137.3836703192
"192","ACDG_P015",64,100,-67475.1007211979
"193","ACDG_P015",65,25,-12953.3531369508
"194","ACDG_P015",65,50,-30430.8740066702
"195","ACDG_P015",65,100,-62447.3147005708
"196","ACDG_P015",66,25,-13032.9242874921
"197","ACDG_P015",66,50,-30251.2580970502
"198","ACDG_P015",66,100,-61153.1759314253
"199","ACDG_P015",67,25,-15837.7276027191
"200","ACDG_P015",67,50,-32354.6965279859
"201","ACDG_P015",67,100,-66589.0684984063
"202","ACDG_P015",68,25,-14860.7412756106
"203","ACDG_P015",68,50,-30176.511067995
"204","ACDG_P015",68,100,-61503.4466398777
"205","ACDG_P015",69,25,-17544.6412631569
"206","ACDG_P015",69,50,-34131.8880849955
"207","ACDG_P015",69,100,-62608.1542136445
"208","ACDG_P015",70,25,-15756.0402003254
"209","ACDG_P015",70,50,-30734.1507374197
"210","ACDG_P015",70,100,-61602.4450633127
"211","ACDG_P015",71,25,-12888.49918829
"212","ACDG_P015",71,50,-30896.5791312847
"213","ACDG_P015",71,100,-61045.1784211985
"214","ACDG_P015",72,25,-17303.8537127384
"215","ACDG_P015",72,50,-33763.1317917772
"216","ACDG_P015",72,100,-61693.4220005405
"217","ACDG_P015",73,25,-15523.9870952253
"218","ACDG_P015",73,50,-31916.8613480232
"219","ACDG_P015",73,100,-62117.6774985792
"220","ACDG_P015",74,25,-13391.7811436692
"221","ACDG_P015",74,50,-30864.2633567139
"222","ACDG_P015",74,100,-61178.2443825351
"223","ACDG_P015",75,25,-16610.9507571945
"224","ACDG_P015",75,50,-31941.9889758013
"225","ACDG_P015",75,100,-62433.0096283087
"226","ACDG_P015",76,25,-15716.3425608132
"227","ACDG_P015",76,50,-31099.6473067311
"228","ACDG_P015",76,100,-61862.7968506396
"229","ACDG_P015",77,25,-16352.2441087502
"230","ACDG_P015",77,50,-32889.7598842151
"231","ACDG_P015",77,100,-66037.6954887692
"232","ACDG_P015",78,25,-16116.0797603184
"233","ACDG_P015",78,50,-30257.9379062369
"234","ACDG_P015",78,100,-63631.9911765539
"235","ACDG_P015",79,25,-13668.0577940071
"236","ACDG_P015",79,50,-29572.4254945917
"237","ACDG_P015",79,100,-62793.078521996
"238","ACDG_P015",80,25,-14946.1734961835
"239","ACDG_P015",80,50,-32319.0101166092
"240","ACDG_P015",80,100,-61129.1745567831
"241","ACDG_P015",81,25,-17488.7368579591
"242","ACDG_P015",81,50,-32330.0016024906
"243","ACDG_P015",81,100,-61148.4825030981
"244","ACDG_P015",82,25,-16360.702826176
"245","ACDG_P015",82,50,-31777.22905794
"246","ACDG_P015",82,100,-62932.85599334
"247","ACDG_P015",83,25,-13699.8602649689
"248","ACDG_P015",83,50,-31308.8979437511
"249","ACDG_P015",83,100,-62235.0459219142
"250","ACDG_P015",84,25,-16219.7499112769
"251","ACDG_P015",84,50,-31438.2085369074
"252","ACDG_P015",84,100,-62223.5914798563
"253","ACDG_P015",85,25,-15969.6773470557
"254","ACDG_P015",85,50,-30120.3381709362
"255","ACDG_P015",85,100,-64950.1684792005
"256","ACDG_P015",86,25,-14773.5193610538
"257","ACDG_P015",86,50,-31469.2840385675
"258","ACDG_P015",86,100,-63101.2935060311
"259","ACDG_P015",87,25,-15785.6972069596
"260","ACDG_P015",87,50,-31733.3397520243
"261","ACDG_P015",87,100,-61598.522387881
"262","ACDG_P015",88,25,-15944.2547731524
"263","ACDG_P015",88,50,-31837.2814557162
"264","ACDG_P015",88,100,-62434.3749594679
"265","ACDG_P015",89,25,-16522.5741424219
"266","ACDG_P015",89,50,-32799.6714428777
"267","ACDG_P015",89,100,-62983.0911855236
"268","ACDG_P015",90,25,-13488.0595057495
"269","ACDG_P015",90,50,-30860.8269124342
"270","ACDG_P015",90,100,-61454.4166859751
"271","ACDG_P015",91,25,-15970.5810734213
"272","ACDG_P015",91,50,-30576.1382741729
"273","ACDG_P015",91,100,-60875.4646478393
"274","ACDG_P015",92,25,-14558.9212549076
"275","ACDG_P015",92,50,-32149.1363248216
"276","ACDG_P015",92,100,-59744.484864291
"277","ACDG_P015",93,25,-15872.0013666442
"278","ACDG_P015",93,50,-31768.5545266433
"279","ACDG_P015",93,100,-61698.7971408875
"280","ACDG_P015",94,25,-13346.2556615623
"281","ACDG_P015",94,50,-29699.7283995235
"282","ACDG_P015",94,100,-61244.2872874329
"283","ACDG_P015",95,25,-15146.7088680703
"284","ACDG_P015",95,50,-29012.3548449575
"285","ACDG_P015",95,100,-60553.7435535266
"286","ACDG_P015",96,25,-15057.9831661553
"287","ACDG_P015",96,50,-31785.3019049617
"288","ACDG_P015",96,100,-61053.9820173136
"289","ACDG_P015",97,25,-16843.9352104189
"290","ACDG_P015",97,50,-33663.7343765738
"291","ACDG_P015",97,100,-63233.1020559098
"292","ACDG_P015",98,25,-17062.2559823084
"293","ACDG_P015",98,50,-32470.4297908409
"294","ACDG_P015",98,100,-61736.0217928732
"295","ACDG_P015",99,25,-14500.7507923379
"296","ACDG_P015",99,50,-31970.335050219
"297","ACDG_P015",99,100,-61765.9160889471
"298","ACDG_P015",100,25,-15327.9290758463
"299","ACDG_P015",100,50,-30871.2844596466
"300","ACDG_P015",100,100,-63548.0456705892
"301","ACDG_P016",1,25,615.719991113829
"302","ACDG_P016",1,50,1042.02777356837
"303","ACDG_P016",1,100,2359.38083049805
"304","ACDG_P016",2,25,462.144742699685
"305","ACDG_P016",2,50,1163.12906408703
"306","ACDG_P016",2,100,1631.6682405177
"307","ACDG_P016",3,25,-583.650580650689
"308","ACDG_P016",3,50,-1302.4124530788
"309","ACDG_P016",3,100,-2617.39071676537
"310","ACDG_P016",4,25,181.805163280896
"311","ACDG_P016",4,50,880.863388708773
"312","ACDG_P016",4,100,1148.01773151044
"313","ACDG_P016",5,25,-42.9246315201158
"314","ACDG_P016",5,50,-630.689893323739
"315","ACDG_P016",5,100,-905.399801024925
"316","ACDG_P016",6,25,265.004193531982
"317","ACDG_P016",6,50,970.893832613145
"318","ACDG_P016",6,100,1196.58352176888
"319","ACDG_P016",7,25,-391.722039140846
"320","ACDG_P016",7,50,-1241.02381756231
"321","ACDG_P016",7,100,-2873.80212432453
"322","ACDG_P016",8,25,519.285636178894
"323","ACDG_P016",8,50,1144.4459160914
"324","ACDG_P016",8,100,2197.27748727854
"325","ACDG_P016",9,25,588.144844656244
"326","ACDG_P016",9,50,1047.77249568737
"327","ACDG_P016",9,100,2261.21760225209
"328","ACDG_P016",10,25,-56.0273488202391
"329","ACDG_P016",10,50,677.664076835045
"330","ACDG_P016",10,100,1760.75302405904
"331","ACDG_P016",11,25,389.839816908754
"332","ACDG_P016",11,50,640.11722989479
"333","ACDG_P016",11,100,1284.37281374665
"334","ACDG_P016",12,25,-343.537910334478
"335","ACDG_P016",12,50,-688.773802358958
"336","ACDG_P016",12,100,-809.940608915189
"337","ACDG_P016",13,25,193.03924392995
"338","ACDG_P016",13,50,898.514049465445
"339","ACDG_P016",13,100,1553.06838457007
"340","ACDG_P016",14,25,-353.461440111208
"341","ACDG_P016",14,50,-552.875541362951
"342","ACDG_P016",14,100,-1530.17870683892
"343","ACDG_P016",15,25,779.045499371785
"344","ACDG_P016",15,50,1742.70263021846
"345","ACDG_P016",15,100,3109.10171916965
"346","ACDG_P016",16,25,114.849520891245
"347","ACDG_P016",16,50,209.270528519456
"348","ACDG_P016",16,100,163.659257171879
"349","ACDG_P016",17,25,-351.309630775649
"350","ACDG_P016",17,50,-1049.27282517347
"351","ACDG_P016",17,100,-2060.68766014211
"352","ACDG_P016",18,25,-413.967422455293
"353","ACDG_P016",18,50,-1273.42758902818
"354","ACDG_P016",18,100,-2611.8318721694
"355","ACDG_P016",19,25,556.100258172566
"356","ACDG_P016",19,50,874.141836707975
"357","ACDG_P016",19,100,1255.20926006719
"358","ACDG_P016",20,25,148.70560604496
"359","ACDG_P016",20,50,475.692289026024
"360","ACDG_P016",20,100,816.648719640594
"361","ACDG_P016",21,25,343.16506816981
"362","ACDG_P016",21,50,830.374891702016
"363","ACDG_P016",21,100,2046.09653454815
"364","ACDG_P016",22,25,556.900151198428
"365","ACDG_P016",22,50,701.717093549909
"366","ACDG_P016",22,100,1396.29048932479
"367","ACDG_P016",23,25,168.908460385194
"368","ACDG_P016",23,50,646.473871594423
"369","ACDG_P016",23,100,1029.06742706639
"370","ACDG_P016",24,25,397.389880059458
"371","ACDG_P016",24,50,797.830717106738
"372","ACDG_P016",24,100,1078.86289744151
"373","ACDG_P016",25,25,66.3477013007119
"374","ACDG_P016",25,50,106.593383749119
"375","ACDG_P016",25,100,312.899320542483
"376","ACDG_P016",26,25,143.908909844292
"377","ACDG_P016",26,50,158.009671007429
"378","ACDG_P016",26,100,453.447736091328
"379","ACDG_P016",27,25,-589.594254268982
"380","ACDG_P016",27,50,-1732.78547340755
"381","ACDG_P016",27,100,-4508.39428075068
"382","ACDG_P016",28,25,1007.16927482391
"383","ACDG_P016",28,50,1624.44980574666
"384","ACDG_P016",28,100,3082.63050842877
"385","ACDG_P016",29,25,355.906599511412
"386","ACDG_P016",29,50,1148.36759615658
"387","ACDG_P016",29,100,2374.00657476255
"388","ACDG_P016",30,25,-1749.0496886363
"389","ACDG_P016",30,50,-3254.30170746692
"390","ACDG_P016",30,100,-6772.48794338334
"391","ACDG_P016",31,25,-554.4168815823
"392","ACDG_P016",31,50,-581.070582215789
"393","ACDG_P016",31,100,-1187.70793325004
"394","ACDG_P016",32,25,534.787053703715
"395","ACDG_P016",32,50,799.395236496589
"396","ACDG_P016",32,100,1308.3764710943
"397","ACDG_P016",33,25,405.314085683345
"398","ACDG_P016",33,50,858.957515820061
"399","ACDG_P016",33,100,1545.82274626863
"400","ACDG_P016",34,25,408.696748501192
"401","ACDG_P016",34,50,663.957034375585
"402","ACDG_P016",34,100,2022.59378838343
"403","ACDG_P016",35,25,-20.4568787059032
"404","ACDG_P016",35,50,217.218264640797
"405","ACDG_P016",35,100,202.654134976935
"406","ACDG_P016",36,25,354.925896027631
"407","ACDG_P016",36,50,769.530091536516
"408","ACDG_P016",36,100,1589.81344923386
"409","ACDG_P016",37,25,-55.3840873575611
"410","ACDG_P016",37,50,-71.8017337138733
"411","ACDG_P016",37,100,-51.000861542195
"412","ACDG_P016",38,25,542.845544589655
"413","ACDG_P016",38,50,1758.49260468636
