"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-17428.7271929717
"2","ACDG_P015",1,50,-33802.5577865506
"3","ACDG_P015",1,100,-71737.2588923918
"4","ACDG_P015",2,25,-18865.0010381849
"5","ACDG_P015",2,50,-36122.385671293
"6","ACDG_P015",2,100,-75242.6058344355
"7","ACDG_P015",3,25,-20615.1609403981
"8","ACDG_P015",3,50,-41260.2575941809
"9","ACDG_P015",3,100,-78323.2547753796
"10","ACDG_P015",4,25,-15109.4834828036
"11","ACDG_P015",4,50,-30848.1217339734
"12","ACDG_P015",4,100,-65516.3627533846
"13","ACDG_P015",5,25,-15338.5974700987
"14","ACDG_P015",5,50,-32328.7475348686
"15","ACDG_P015",5,100,-66538.5381621158
"16","ACDG_P015",6,25,-17667.4880182976
"17","ACDG_P015",6,50,-34423.8102207603
"18","ACDG_P015",6,100,-69222.0012746661
"19","ACDG_P015",7,25,-16264.1503194316
"20","ACDG_P015",7,50,-32098.216468461
"21","ACDG_P015",7,100,-62560.1224414835
"22","ACDG_P015",8,25,-17473.5994322029
"23","ACDG_P015",8,50,-35263.3443002784
"24","ACDG_P015",8,100,-64789.259677426
"25","ACDG_P015",9,25,-18776.6784933571
"26","ACDG_P015",9,50,-35632.6947607437
"27","ACDG_P015",9,100,-72982.8147078843
"28","ACDG_P015",10,25,-16607.1057058262
"29","ACDG_P015",10,50,-32062.7672486737
"30","ACDG_P015",10,100,-63176.5951390968
"31","ACDG_P015",11,25,-17423.920551661
"32","ACDG_P015",11,50,-31906.7437944818
"33","ACDG_P015",11,100,-62178.3535630475
"34","ACDG_P015",12,25,-18225.4133272811
"35","ACDG_P015",12,50,-30831.4246697969
"36","ACDG_P015",12,100,-62018.4695858616
"37","ACDG_P015",13,25,-15473.626689493
"38","ACDG_P015",13,50,-31034.9806267033
"39","ACDG_P015",13,100,-63932.0401658321
"40","ACDG_P015",14,25,-20487.6267862881
"41","ACDG_P015",14,50,-36403.86818022
"42","ACDG_P015",14,100,-71482.8119940859
"43","ACDG_P015",15,25,-14864.3535205991
"44","ACDG_P015",15,50,-29418.5515066061
"45","ACDG_P015",15,100,-61118.4536714249
"46","ACDG_P015",16,25,-20031.1725793362
"47","ACDG_P015",16,50,-35134.1311505274
"48","ACDG_P015",16,100,-69722.6929210484
"49","ACDG_P015",17,25,-17201.6363515735
"50","ACDG_P015",17,50,-32905.9038412479
"51","ACDG_P015",17,100,-68020.3935581523
"52","ACDG_P015",18,25,-17493.9129407522
"53","ACDG_P015",18,50,-31864.9691314671
"54","ACDG_P015",18,100,-64169.1314047982
"55","ACDG_P015",19,25,-14703.1999084328
"56","ACDG_P015",19,50,-30278.5345213161
"57","ACDG_P015",19,100,-63208.2473614339
"58","ACDG_P015",20,25,-17280.9324286558
"59","ACDG_P015",20,50,-31526.4002851947
"60","ACDG_P015",20,100,-66444.1017644923
"61","ACDG_P015",21,25,-17552.6252055253
"62","ACDG_P015",21,50,-35768.361087614
"63","ACDG_P015",21,100,-68010.6239864811
"64","ACDG_P015",22,25,-16841.0419727128
"65","ACDG_P015",22,50,-32945.12866636
"66","ACDG_P015",22,100,-62409.1485117209
"67","ACDG_P015",23,25,-16422.1761834896
"68","ACDG_P015",23,50,-33016.7824994462
"69","ACDG_P015",23,100,-61960.5718926562
"70","ACDG_P015",24,25,-15939.2506311342
"71","ACDG_P015",24,50,-33287.442167819
"72","ACDG_P015",24,100,-69120.1142516394
"73","ACDG_P015",25,25,-15814.9237453144
"74","ACDG_P015",25,50,-30612.621322879
"75","ACDG_P015",25,100,-60418.7082974024
"76","ACDG_P015",26,25,-18745.0197007508
