"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-13014.1996732938
"2","ACDG_P015",1,50,-28039.9521220613
"3","ACDG_P015",1,100,-54421.6805210728
"4","ACDG_P015",2,25,-16198.8205779121
"5","ACDG_P015",2,50,-32136.0637630908
"6","ACDG_P015",2,100,-62290.1080649509
"7","ACDG_P015",3,25,-16730.6335822155
"8","ACDG_P015",3,50,-33718.9744279681
"9","ACDG_P015",3,100,-62711.7220315478
"10","ACDG_P015",4,25,-14279.6029874403
"11","ACDG_P015",4,50,-29639.9989765813
"12","ACDG_P015",4,100,-59441.4276930662
"13","ACDG_P015",5,25,-15964.8080449812
"14","ACDG_P015",5,50,-30675.254658204
"15","ACDG_P015",5,100,-65984.405118048
"16","ACDG_P015",6,25,-13804.7268990819
"17","ACDG_P015",6,50,-28578.6538751289
"18","ACDG_P015",6,100,-55512.0572411291
"19","ACDG_P015",7,25,-19625.1618545984
"20","ACDG_P015",7,50,-38223.0955024009
"21","ACDG_P015",7,100,-73995.9099633176
"22","ACDG_P015",8,25,-18528.0554983443
"23","ACDG_P015",8,50,-34605.0183849795
"24","ACDG_P015",8,100,-70942.317773366
"25","ACDG_P015",9,25,-16464.2286975622
"26","ACDG_P015",9,50,-31841.0734412768
"27","ACDG_P015",9,100,-61215.9338837974
"28","ACDG_P015",10,25,-16260.247624495
"29","ACDG_P015",10,50,-30978.8473544455
"30","ACDG_P015",10,100,-63780.6050484577
"31","ACDG_P015",11,25,-12212.5376430889
"32","ACDG_P015",11,50,-24250.5184162018
"33","ACDG_P015",11,100,-52236.6501873415
"34","ACDG_P015",12,25,-14515.1849550271
"35","ACDG_P015",12,50,-29072.1045554481
"36","ACDG_P015",12,100,-58547.7967295743
"37","ACDG_P015",13,25,-14182.587663335
"38","ACDG_P015",13,50,-29541.5741264395
"39","ACDG_P015",13,100,-58506.7150162124
"40","ACDG_P015",14,25,-13033.9421757885
"41","ACDG_P015",14,50,-28088.6593634666
"42","ACDG_P015",14,100,-55114.4905870836
"43","ACDG_P015",15,25,-16063.3554314885
"44","ACDG_P015",15,50,-31357.6883172778
"45","ACDG_P015",15,100,-60101.4643824838
"46","ACDG_P015",16,25,-14088.2002728734
"47","ACDG_P015",16,50,-27451.9798232567
"48","ACDG_P015",16,100,-53617.9177903215
"49","ACDG_P015",17,25,-12672.7017852404
