"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-24057.2323211272
"2","ACDG_P015",1,50,-46931.0915035799
"3","ACDG_P015",1,100,-91216.6853040082
"4","ACDG_P015",2,25,-17759.4839434412
"5","ACDG_P015",2,50,-38677.6387865985
"6","ACDG_P015",2,100,-76272.3377004671
"7","ACDG_P015",3,25,-18105.1896498687
"8","ACDG_P015",3,50,-37543.1529232717
"9","ACDG_P015",3,100,-73651.885847614
"10","ACDG_P015",4,25,-17078.590956994
"11","ACDG_P015",4,50,-32591.9262969539
"12","ACDG_P015",4,100,-72641.5266375275
"13","ACDG_P015",5,25,-15935.1374819464
"14","ACDG_P015",5,50,-33474.0591460821
"15","ACDG_P015",5,100,-67483.5538859124
"16","ACDG_P015",6,25,-18523.3159603351
"17","ACDG_P015",6,50,-35344.0881947136
"18","ACDG_P015",6,100,-72717.5408445891
"19","ACDG_P015",7,25,-18711.0501055239
"20","ACDG_P015",7,50,-39028.5686311612
"21","ACDG_P015",7,100,-78024.7214697131
"22","ACDG_P015",8,25,-19720.5380358066
"23","ACDG_P015",8,50,-41176.0971935326
"24","ACDG_P015",8,100,-85331.8013258511
"25","ACDG_P015",9,25,-21873.2759188465
"26","ACDG_P015",9,50,-42205.6740311887
"27","ACDG_P015",9,100,-83187.492723092
"28","ACDG_P015",10,25,-17171.6869108739
"29","ACDG_P015",10,50,-31351.9653031995
"30","ACDG_P015",10,100,-65498.5022925744
"31","ACDG_P015",11,25,-23340.0988238584
"32","ACDG_P015",11,50,-45737.8748246784
"33","ACDG_P015",11,100,-93400.5654385411
"34","ACDG_P015",12,25,-19667.1478201535
"35","ACDG_P015",12,50,-40915.7860400611
"36","ACDG_P015",12,100,-79275.7026670746
"37","ACDG_P015",13,25,-17970.1306206519
"38","ACDG_P015",13,50,-39851.3686844965
"39","ACDG_P015",13,100,-75669.6651017107
"40","ACDG_P015",14,25,-17696.5451584608
"41","ACDG_P015",14,50,-37715.9559193816
"42","ACDG_P015",14,100,-73335.3010307209
"43","ACDG_P015",15,25,-22451.425611228
"44","ACDG_P015",15,50,-41561.133883562
"45","ACDG_P015",15,100,-83129.925732732
"46","ACDG_P015",16,25,-21447.2955559072
"47","ACDG_P015",16,50,-41954.027069015
"48","ACDG_P015",16,100,-81769.1186681836
"49","ACDG_P015",17,25,-23208.4189807257
"50","ACDG_P015",17,50,-43924.2449008025
"51","ACDG_P015",17,100,-85975.9938820614
"52","ACDG_P015",18,25,-17038.4383360161
"53","ACDG_P015",18,50,-35053.318830843
"54","ACDG_P015",18,100,-70156.1614522353
"55","ACDG_P015",19,25,-17531.3330380726
"56","ACDG_P015",19,50,-37139.822862874
"57","ACDG_P015",19,100,-74485.0151456272
"58","ACDG_P015",20,25,-17181.0733669153
"59","ACDG_P015",20,50,-38525.1619305147
"60","ACDG_P015",20,100,-75017.8119715476
"61","ACDG_P015",21,25,-20375.540113212
"62","ACDG_P015",21,50,-37300.1533452506
"63","ACDG_P015",21,100,-73823.808823771
"64","ACDG_P015",22,25,-20291.3198529868
"65","ACDG_P015",22,50,-42154.1301769104
"66","ACDG_P015",22,100,-85986.0980658799
"67","ACDG_P015",23,25,-24549.9428975329
"68","ACDG_P015",23,50,-46897.1883989424
"69","ACDG_P015",23,100,-94252.0039058101
