"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-12196.5654004544
"2","ACDG_P015",1,50,-24805.1594117847
"3","ACDG_P015",1,100,-45992.0004657716
"4","ACDG_P015",2,25,-15057.8494091885
"5","ACDG_P015",2,50,-30953.1439097074
"6","ACDG_P015",2,100,-56894.6564992629
"7","ACDG_P015",3,25,-7898.19262543514
"8","ACDG_P015",3,50,-19340.9045476615
"9","ACDG_P015",3,100,-36164.2180561729
"10","ACDG_P015",4,25,-10502.7151197166
"11","ACDG_P015",4,50,-22229.00392088
"12","ACDG_P015",4,100,-40015.1676712399
"13","ACDG_P015",5,25,-7797.12795053727
"14","ACDG_P015",5,50,-17339.7587498677
"15","ACDG_P015",5,100,-34947.6316462449
"16","ACDG_P015",6,25,-7368.34814485942
"17","ACDG_P015",6,50,-17113.2310481701
"18","ACDG_P015",6,100,-36688.9025099799
"19","ACDG_P015",7,25,-13969.4935312998
"20","ACDG_P015",7,50,-26271.3954751393
"21","ACDG_P015",7,100,-58962.0438841955
"22","ACDG_P015",8,25,-13336.7659208362
"23","ACDG_P015",8,50,-24559.6698330603
"24","ACDG_P015",8,100,-47843.9876287826
"25","ACDG_P015",9,25,-7199.49033965206
"26","ACDG_P015",9,50,-14818.3582477248
"27","ACDG_P015",9,100,-26755.8404849072
"28","ACDG_P015",10,25,-11693.2801532249
"29","ACDG_P015",10,50,-22046.2726835048
"30","ACDG_P015",10,100,-40700.5257363468
"31","ACDG_P015",11,25,-10769.1185671362
"32","ACDG_P015",11,50,-24176.5270029525
"33","ACDG_P015",11,100,-46461.9933474107
"34","ACDG_P015",12,25,-11997.3510394967
"35","ACDG_P015",12,50,-21467.6131168948
"36","ACDG_P015",12,100,-51428.758673321
"37","ACDG_P015",13,25,-11331.5448155055
"38","ACDG_P015",13,50,-21397.331231272
"39","ACDG_P015",13,100,-48086.1083732844
"40","ACDG_P015",14,25,-7517.98281011894
"41","ACDG_P015",14,50,-17503.1947213006
"42","ACDG_P015",14,100,-37169.6844270958
"43","ACDG_P015",15,25,-11038.3899804864
"44","ACDG_P015",15,50,-20039.2687397971
"45","ACDG_P015",15,100,-38036.2854723101
"46","ACDG_P015",16,25,-9244.9983575186
"47","ACDG_P015",16,50,-20022.4632951761
"48","ACDG_P015",16,100,-42435.2792106612
"49","ACDG_P015",17,25,-6967.26858471492
"50","ACDG_P015",17,50,-14634.4972296127
"51","ACDG_P015",17,100,-31487.3445754985
"52","ACDG_P015",18,25,-5848.5737327261
"53","ACDG_P015",18,50,-11244.5778741009
"54","ACDG_P015",18,100,-23843.6660486237
"55","ACDG_P015",19,25,-11684.9771490392
"56","ACDG_P015",19,50,-22821.7540179347
"57","ACDG_P015",19,100,-47284.047772756
"58","ACDG_P015",20,25,-13826.80795636
"59","ACDG_P015",20,50,-29231.6173272045
"60","ACDG_P015",20,100,-55913.5783518125
"61","ACDG_P015",21,25,-8443.30435266662
"62","ACDG_P015",21,50,-15478.4125172301
"63","ACDG_P015",21,100,-29435.888193169
"64","ACDG_P015",22,25,-5751.53393909734
"65","ACDG_P015",22,50,-13479.1925824624
"66","ACDG_P015",22,100,-28933.8867301066
"67","ACDG_P015",23,25,-10757.4938225535
"68","ACDG_P015",23,50,-23486.5740649634
"69","ACDG_P015",23,100,-44537.7920268236
"70","ACDG_P015",24,25,-7824.52481007407
"71","ACDG_P015",24,50,-17453.8645135969
"72","ACDG_P015",24,100,-36123.5783859024
"73","ACDG_P015",25,25,-12077.7809058076
"74","ACDG_P015",25,50,-24846.4161585019
"75","ACDG_P015",25,100,-44689.3272406541
"76","ACDG_P015",26,25,-14070.0412522746
"77","ACDG_P015",26,50,-26863.3495967587
"78","ACDG_P015",26,100,-53369.25136247
"79","ACDG_P015",27,25,-9673.34308405161
"80","ACDG_P015",27,50,-17991.3053693969
"81","ACDG_P015",27,100,-34028.1676365313
"82","ACDG_P015",28,25,-10108.9724977022
"83","ACDG_P015",28,50,-20542.2291307038
"84","ACDG_P015",28,100,-45888.8387048508
"85","ACDG_P015",29,25,-8619.273493747
"86","ACDG_P015",29,50,-16174.1539956583
"87","ACDG_P015",29,100,-30163.2426358762
"88","ACDG_P015",30,25,-13430.2276965414
"89","ACDG_P015",30,50,-25009.6292455914
"90","ACDG_P015",30,100,-52483.6474709392
"91","ACDG_P015",31,25,-12265.0093629741
"92","ACDG_P015",31,50,-23595.3408138527
"93","ACDG_P015",31,100,-49586.2688762257
"94","ACDG_P015",32,25,-8349.59181274448
"95","ACDG_P015",32,50,-20286.1328259942
"96","ACDG_P015",32,100,-39207.4226271221
"97","ACDG_P015",33,25,-13677.208318635
"98","ACDG_P015",33,50,-23943.8400165981
"99","ACDG_P015",33,100,-50492.461757635
"100","ACDG_P015",34,25,-14523.0028134384
"101","ACDG_P015",34,50,-26849.3283418165
"102","ACDG_P015",34,100,-54284.4571569076
"103","ACDG_P015",35,25,-7730.43982894997
"104","ACDG_P015",35,50,-16991.4344116289
"105","ACDG_P015",35,100,-33462.4374294637
"106","ACDG_P015",36,25,-15383.4026174074
"107","ACDG_P015",36,50,-26614.3086809047
"108","ACDG_P015",36,100,-55299.0465961092
"109","ACDG_P015",37,25,-12422.4342602457
"110","ACDG_P015",37,50,-25668.7904048617
"111","ACDG_P015",37,100,-53956.3943349727
"112","ACDG_P015",38,25,-10426.250724045
"113","ACDG_P015",38,50,-20597.6435137475
"114","ACDG_P015",38,100,-39326.6397111317
"115","ACDG_P015",39,25,-12917.8071766429
"116","ACDG_P015",39,50,-26147.4950800734
"117","ACDG_P015",39,100,-50293.4276765082
"118","ACDG_P015",40,25,-14613.9476909838
"119","ACDG_P015",40,50,-27503.3918497329
"120","ACDG_P015",40,100,-57667.3560211557
"121","ACDG_P015",41,25,-15445.4278622878
"122","ACDG_P015",41,50,-31232.3544895873
"123","ACDG_P015",41,100,-61031.9293556837
"124","ACDG_P015",42,25,-8469.76948930022
"125","ACDG_P015",42,50,-17706.9894638807
"126","ACDG_P015",42,100,-36279.5003037215
"127","ACDG_P015",43,25,-9686.81263162838
"128","ACDG_P015",43,50,-19750.5701876893
"129","ACDG_P015",43,100,-37553.4673805691
"130","ACDG_P015",44,25,-13177.5326454031
"131","ACDG_P015",44,50,-24127.8481071312
