"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-9537.48522636877
"2","ACDG_P015",1,50,-21241.524827033
"3","ACDG_P015",1,100,-39993.1240996249
"4","ACDG_P015",2,25,-8731.67964290938
"5","ACDG_P015",2,50,-17583.8095055935
"6","ACDG_P015",2,100,-38124.2709737465
"7","ACDG_P015",3,25,-9283.55972216118
"8","ACDG_P015",3,50,-16276.7041885295
"9","ACDG_P015",3,100,-34013.3971268702
"10","ACDG_P015",4,25,-12242.0984729054
"11","ACDG_P015",4,50,-24405.7985196422
"12","ACDG_P015",4,100,-47410.0405653931
"13","ACDG_P015",5,25,-12802.4798086064
"14","ACDG_P015",5,50,-26449.6208986341
"15","ACDG_P015",5,100,-51055.6251766419
"16","ACDG_P015",6,25,-11013.1706636719
"17","ACDG_P015",6,50,-18427.3008014942
"18","ACDG_P015",6,100,-38617.8587728571
"19","ACDG_P015",7,25,-4178.80541316119
"20","ACDG_P015",7,50,-7583.74346760532
"21","ACDG_P015",7,100,-17584.6614871587
"22","ACDG_P015",8,25,-13399.1448590554
"23","ACDG_P015",8,50,-26981.0577030101
"24","ACDG_P015",8,100,-57602.0750313408
"25","ACDG_P015",9,25,-10268.7606354098
"26","ACDG_P015",9,50,-20020.879901518
"27","ACDG_P015",9,100,-43229.5500109448
"28","ACDG_P015",10,25,-12237.1025457451
"29","ACDG_P015",10,50,-21900.9413721638
"30","ACDG_P015",10,100,-41069.437467938
"31","ACDG_P015",11,25,-5261.1920973577
"32","ACDG_P015",11,50,-10394.2656248789
"33","ACDG_P015",11,100,-19563.7127720431
"34","ACDG_P015",12,25,-10039.7171404589
"35","ACDG_P015",12,50,-20279.3807771075
"36","ACDG_P015",12,100,-44249.9494106291
"37","ACDG_P015",13,25,-6740.2417571212
"38","ACDG_P015",13,50,-16837.8380146251
"39","ACDG_P015",13,100,-33172.1370875025
"40","ACDG_P015",14,25,-9600.05403469131
"41","ACDG_P015",14,50,-17994.1317952738
"42","ACDG_P015",14,100,-38713.8230803642
"43","ACDG_P015",15,25,-9565.36256369393
"44","ACDG_P015",15,50,-16472.4313540385
"45","ACDG_P015",15,100,-31215.8766513248
"46","ACDG_P015",16,25,-12798.5665183279
"47","ACDG_P015",16,50,-27404.7235200906
"48","ACDG_P015",16,100,-60243.945901006
"49","ACDG_P015",17,25,-6923.92387544005
"50","ACDG_P015",17,50,-15882.7518024323
"51","ACDG_P015",17,100,-30379.5817899417
"52","ACDG_P015",18,25,-9099.70688912631
"53","ACDG_P015",18,50,-18681.0662997514
"54","ACDG_P015",18,100,-36035.4804311039
"55","ACDG_P015",19,25,-8314.23451561618
"56","ACDG_P015",19,50,-15442.2616794466
"57","ACDG_P015",19,100,-33444.3580391914
"58","ACDG_P015",20,25,-12208.0964327945
"59","ACDG_P015",20,50,-24296.5431463031
"60","ACDG_P015",20,100,-45568.4004452101
"61","ACDG_P015",21,25,-14269.6646685438
"62","ACDG_P015",21,50,-25670.274767621
"63","ACDG_P015",21,100,-54668.1083516268
"64","ACDG_P015",22,25,-11560.0294997194
"65","ACDG_P015",22,50,-23638.1195883312
"66","ACDG_P015",22,100,-42871.6818674772
"67","ACDG_P015",23,25,-12435.496006106
"68","ACDG_P015",23,50,-25729.3720828074
"69","ACDG_P015",23,100,-47087.2307732673
"70","ACDG_P015",24,25,-14558.4355127403
"71","ACDG_P015",24,50,-29929.6450707147
"72","ACDG_P015",24,100,-60983.0784813567
"73","ACDG_P015",25,25,-11654.7116624895
"74","ACDG_P015",25,50,-25341.7376315119
"75","ACDG_P015",25,100,-51061.0771854749
"76","ACDG_P015",26,25,-11052.2234046894
"77","ACDG_P015",26,50,-23444.0826620988
"78","ACDG_P015",26,100,-46973.9846297181
"79","ACDG_P015",27,25,-9203.5018229784
"80","ACDG_P015",27,50,-14954.0298684759
"81","ACDG_P015",27,100,-31084.7122838382
"82","ACDG_P015",28,25,-10631.5670388709
"83","ACDG_P015",28,50,-21637.2459621902
"84","ACDG_P015",28,100,-41662.1846906891
"85","ACDG_P015",29,25,-10002.8311140676
"86","ACDG_P015",29,50,-22203.8504102771
"87","ACDG_P015",29,100,-46193.1794110689
"88","ACDG_P015",30,25,-11224.6626337211
"89","ACDG_P015",30,50,-20123.378001802
"90","ACDG_P015",30,100,-41139.454232178
"91","ACDG_P015",31,25,-11808.2775290077
"92","ACDG_P015",31,50,-22178.905135236
"93","ACDG_P015",31,100,-43447.999401945
"94","ACDG_P015",32,25,-10610.3050576168
"95","ACDG_P015",32,50,-22755.6367267901
"96","ACDG_P015",32,100,-42589.5690748151
"97","ACDG_P015",33,25,-8105.60459049324
"98","ACDG_P015",33,50,-16977.1405904326
"99","ACDG_P015",33,100,-33201.9659976879
"100","ACDG_P015",34,25,-9876.66642090496
"101","ACDG_P015",34,50,-23952.2148083421
"102","ACDG_P015",34,100,-47192.8432032393
"103","ACDG_P015",35,25,-7734.37271219667
"104","ACDG_P015",35,50,-15442.7613557868
"105","ACDG_P015",35,100,-29432.8898607014
"106","ACDG_P015",36,25,-6368.06947930804
"107","ACDG_P015",36,50,-15264.3832582699
"108","ACDG_P015",36,100,-30507.6156182062
