"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-16312.8763851753
"2","ACDG_P015",1,50,-35500.0970895209
"3","ACDG_P015",1,100,-71379.729206355
"4","ACDG_P015",2,25,-14023.5069242685
"5","ACDG_P015",2,50,-29844.0489968111
"6","ACDG_P015",2,100,-59820.3161922662
"7","ACDG_P015",3,25,-14948.1186451803
"8","ACDG_P015",3,50,-29778.5764784416
"9","ACDG_P015",3,100,-63851.324937634
"10","ACDG_P015",4,25,-16563.0376176053
"11","ACDG_P015",4,50,-32845.7550732729
"12","ACDG_P015",4,100,-61550.0512109518
"13","ACDG_P015",5,25,-16057.017021943
"14","ACDG_P015",5,50,-32186.7336942984
"15","ACDG_P015",5,100,-63671.5973370457
"16","ACDG_P015",6,25,-13794.420293251
"17","ACDG_P015",6,50,-30323.1837553324
"18","ACDG_P015",6,100,-59017.4465174469
"19","ACDG_P015",7,25,-13565.5131859012
"20","ACDG_P015",7,50,-27386.8639123781
"21","ACDG_P015",7,100,-59395.500928928
"22","ACDG_P015",8,25,-13351.9238527225
"23","ACDG_P015",8,50,-29751.3545819114
"24","ACDG_P015",8,100,-63067.6503005161
"25","ACDG_P015",9,25,-12993.3580188812
"26","ACDG_P015",9,50,-25321.9368620442
"27","ACDG_P015",9,100,-50788.696057503
"28","ACDG_P015",10,25,-15947.3939398812
"29","ACDG_P015",10,50,-33706.6152540333
"30","ACDG_P015",10,100,-61510.0203066555
"31","ACDG_P015",11,25,-14520.9197568499
"32","ACDG_P015",11,50,-31076.6582906039
"33","ACDG_P015",11,100,-62469.7804730429
"34","ACDG_P015",12,25,-14929.4317196601
"35","ACDG_P015",12,50,-26944.1318009951
"36","ACDG_P015",12,100,-57578.5833556245
"37","ACDG_P015",13,25,-14261.290490093
"38","ACDG_P015",13,50,-27398.600164111
"39","ACDG_P015",13,100,-59556.0940355063
"40","ACDG_P015",14,25,-13146.014494674
"41","ACDG_P015",14,50,-28547.5161441636
"42","ACDG_P015",14,100,-59877.7330254496
"43","ACDG_P015",15,25,-13718.5756341097
"44","ACDG_P015",15,50,-32061.9352632153
"45","ACDG_P015",15,100,-63439.612540767
"46","ACDG_P015",16,25,-16017.1954345616
"47","ACDG_P015",16,50,-29132.6378589516
"48","ACDG_P015",16,100,-58019.40557145
"49","ACDG_P015",17,25,-11522.2472560542
"50","ACDG_P015",17,50,-21994.3187336038
"51","ACDG_P015",17,100,-44596.070531799
"52","ACDG_P015",18,25,-14696.7415827601
"53","ACDG_P015",18,50,-27555.3117530527
"54","ACDG_P015",18,100,-58508.007512118
"55","ACDG_P015",19,25,-14873.74407769
"56","ACDG_P015",19,50,-30602.5025067775
"57","ACDG_P015",19,100,-61590.5864636088
"58","ACDG_P015",20,25,-12186.2232672587
"59","ACDG_P015",20,50,-23126.816141085
"60","ACDG_P015",20,100,-45046.9336332999
"61","ACDG_P015",21,25,-13380.7932710413
"62","ACDG_P015",21,50,-25401.7456262836
"63","ACDG_P015",21,100,-56815.8301132909
"64","ACDG_P015",22,25,-17320.2041973502
"65","ACDG_P015",22,50,-33210.8121182592
"66","ACDG_P015",22,100,-62287.7128667798
"67","ACDG_P015",23,25,-12884.5420584657
"68","ACDG_P015",23,50,-25233.713784771
"69","ACDG_P015",23,100,-50547.5884092151
"70","ACDG_P015",24,25,-16884.8383693479
"71","ACDG_P015",24,50,-32914.1877069113
"72","ACDG_P015",24,100,-67258.4158211427
"73","ACDG_P015",25,25,-13682.9633362235
"74","ACDG_P015",25,50,-27467.0344615898
"75","ACDG_P015",25,100,-52205.7870238385
"76","ACDG_P015",26,25,-14077.0136123372
"77","ACDG_P015",26,50,-30858.1729797441
"78","ACDG_P015",26,100,-63489.2357219918
"79","ACDG_P015",27,25,-16606.5952640241
"80","ACDG_P015",27,50,-29870.5066321815
"81","ACDG_P015",27,100,-57170.4647076951
"82","ACDG_P015",28,25,-14110.3795887141
"83","ACDG_P015",28,50,-27853.9835764838
"84","ACDG_P015",28,100,-58555.2244970627
"85","ACDG_P015",29,25,-15376.399050908
"86","ACDG_P015",29,50,-28662.4459027879
"87","ACDG_P015",29,100,-61307.7922157656
"88","ACDG_P015",30,25,-15503.3939657281
"89","ACDG_P015",30,50,-31238.8404820357
"90","ACDG_P015",30,100,-65590.2855223181
"91","ACDG_P015",31,25,-14267.8419953065
"92","ACDG_P015",31,50,-26930.20145935
"93","ACDG_P015",31,100,-47925.5566911602
"94","ACDG_P015",32,25,-16856.8143227652
"95","ACDG_P015",32,50,-33386.7661604128
"96","ACDG_P015",32,100,-68561.5521894046
"97","ACDG_P015",33,25,-13395.7668814512
"98","ACDG_P015",33,50,-28079.7430082515
"99","ACDG_P015",33,100,-58483.1621637547
"100","ACDG_P015",34,25,-17219.2921055954
