"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-20662.5575387301
"2","ACDG_P015",1,50,-39390.9836004184
"3","ACDG_P015",1,100,-76054.5440771065
"4","ACDG_P015",2,25,-18990.7426293588
"5","ACDG_P015",2,50,-33964.2239868609
"6","ACDG_P015",2,100,-67305.2055483726
"7","ACDG_P015",3,25,-15679.3833650257
"8","ACDG_P015",3,50,-30495.4552361662
"9","ACDG_P015",3,100,-66504.910808329
"10","ACDG_P015",4,25,-11794.1823609072
"11","ACDG_P015",4,50,-26704.4803457169
"12","ACDG_P015",4,100,-58040.7520012942
"13","ACDG_P015",5,25,-12479.2255584675
"14","ACDG_P015",5,50,-25171.4524252303
"15","ACDG_P015",5,100,-49187.7664978209
"16","ACDG_P015",6,25,-16959.7039705732
"17","ACDG_P015",6,50,-32960.4289230203
"18","ACDG_P015",6,100,-65223.1517938894
"19","ACDG_P015",7,25,-18032.3466979809
"20","ACDG_P015",7,50,-32626.6884734278
"21","ACDG_P015",7,100,-65123.975544587
"22","ACDG_P015",8,25,-14289.9557766594
"23","ACDG_P015",8,50,-26639.8573165191
"24","ACDG_P015",8,100,-52938.0456990656
"25","ACDG_P015",9,25,-12031.2402418717
"26","ACDG_P015",9,50,-22743.8393484611
"27","ACDG_P015",9,100,-46740.8990374497
"28","ACDG_P015",10,25,-15682.2585355083
"29","ACDG_P015",10,50,-29287.8798120191
"30","ACDG_P015",10,100,-55626.4830073954
"31","ACDG_P015",11,25,-16596.9041535475
"32","ACDG_P015",11,50,-31523.8232527268
"33","ACDG_P015",11,100,-62955.8620949805
"34","ACDG_P015",12,25,-18887.5444793154
"35","ACDG_P015",12,50,-38869.2669415158
"36","ACDG_P015",12,100,-73197.949372039
"37","ACDG_P015",13,25,-16804.8721140845
"38","ACDG_P015",13,50,-33413.949868109
"39","ACDG_P015",13,100,-65509.9666306844
"40","ACDG_P015",14,25,-16259.3011028373
"41","ACDG_P015",14,50,-33990.0696699963
"42","ACDG_P015",14,100,-61155.1464492917
"43","ACDG_P015",15,25,-15811.0028705456
"44","ACDG_P015",15,50,-34581.4211531472
"45","ACDG_P015",15,100,-66789.8427720941
"46","ACDG_P015",16,25,-13364.8295043512
"47","ACDG_P015",16,50,-25443.0885370582
"48","ACDG_P015",16,100,-54341.8660372744
"49","ACDG_P015",17,25,-9686.3497768596
"50","ACDG_P015",17,50,-17628.2100964765
"51","ACDG_P015",17,100,-35304.7225541319
"52","ACDG_P015",18,25,-13555.2429530446
"53","ACDG_P015",18,50,-29000.9277753698
"54","ACDG_P015",18,100,-61539.1900292316
"55","ACDG_P015",19,25,-15381.4528712441
"56","ACDG_P015",19,50,-30389.0672293003
"57","ACDG_P015",19,100,-64484.9362808059
"58","ACDG_P015",20,25,-16609.0988642644
"59","ACDG_P015",20,50,-29713.0778129808
"60","ACDG_P015",20,100,-64109.0884989637
"61","ACDG_P015",21,25,-17193.3589826092
"62","ACDG_P015",21,50,-35415.7502677158
"63","ACDG_P015",21,100,-73527.0795207251
"64","ACDG_P015",22,25,-13882.7687444876
"65","ACDG_P015",22,50,-26527.9659214229
"66","ACDG_P015",22,100,-54418.4473454914
"67","ACDG_P015",23,25,-11148.1592050408
"68","ACDG_P015",23,50,-20424.5470389816
"69","ACDG_P015",23,100,-42105.4246317813
"70","ACDG_P015",24,25,-12411.099349672
"71","ACDG_P015",24,50,-23422.6884331117
"72","ACDG_P015",24,100,-48516.20486426
"73","ACDG_P015",25,25,-13655.382541737
"74","ACDG_P015",25,50,-25880.8059330683
"75","ACDG_P015",25,100,-55503.4237674906
"76","ACDG_P015",26,25,-11217.2386893545
"77","ACDG_P015",26,50,-27752.3984292121
"78","ACDG_P015",26,100,-54827.7633887005
"79","ACDG_P015",27,25,-19810.9676923774
"80","ACDG_P015",27,50,-37315.2776117775
"81","ACDG_P015",27,100,-75576.3811949006
"82","ACDG_P015",28,25,-16557.5555924598
"83","ACDG_P015",28,50,-28696.1181317998
"84","ACDG_P015",28,100,-60570.3110883609
"85","ACDG_P015",29,25,-14829.5029506161
"86","ACDG_P015",29,50,-27363.6486279996
"87","ACDG_P015",29,100,-56821.6568742068
"88","ACDG_P015",30,25,-15837.5808933265
"89","ACDG_P015",30,50,-30671.4161702758
"90","ACDG_P015",30,100,-62013.5728941829
"91","ACDG_P015",31,25,-15123.1812101471
"92","ACDG_P015",31,50,-30826.2686241685
"93","ACDG_P015",31,100,-60641.145575161
"94","ACDG_P015",32,25,-18093.3510853856
"95","ACDG_P015",32,50,-36831.7904067406
"96","ACDG_P015",32,100,-75562.0841215165
"97","ACDG_P015",33,25,-16920.2235334136
"98","ACDG_P015",33,50,-35142.6447228455
"99","ACDG_P015",33,100,-64269.3276022946
"100","ACDG_P015",34,25,-14692.0780986867
"101","ACDG_P015",34,50,-25106.9313722373
"102","ACDG_P015",34,100,-53113.1172771345
"103","ACDG_P015",35,25,-14375.6162372794
"104","ACDG_P015",35,50,-30096.3380644532
"105","ACDG_P015",35,100,-58079.2318583998
"106","ACDG_P015",36,25,-7906.26408450724
"107","ACDG_P015",36,50,-18347.8474236215
"108","ACDG_P015",36,100,-36289.1514024548
"109","ACDG_P015",37,25,-16045.7986428337
"110","ACDG_P015",37,50,-31549.84188944
"111","ACDG_P015",37,100,-62542.3208211192
"112","ACDG_P015",38,25,-14227.5482922293
"113","ACDG_P015",38,50,-28135.7718493637
"114","ACDG_P015",38,100,-58152.3473972053
"115","ACDG_P015",39,25,-12541.2817224539
"116","ACDG_P015",39,50,-25524.3047526016
"117","ACDG_P015",39,100,-52369.7969491175
"118","ACDG_P015",40,25,-15124.6776359581
"119","ACDG_P015",40,50,-32539.9822494227
"120","ACDG_P015",40,100,-65827.5144173186
"121","ACDG_P015",41,25,-15010.5481298122
"122","ACDG_P015",41,50,-31480.8951656316
"123","ACDG_P015",41,100,-63955.9567316088
"124","ACDG_P015",42,25,-14424.9973407776
"125","ACDG_P015",42,50,-27175.1840636499
"126","ACDG_P015",42,100,-49368.2916866861
"127","ACDG_P015",43,25,-15420.2668688199
"128","ACDG_P015",43,50,-30819.1637425079
"129","ACDG_P015",43,100,-68159.8133164934
"130","ACDG_P015",44,25,-13456.7355023447
"131","ACDG_P015",44,50,-27132.9763100922
"132","ACDG_P015",44,100,-53826.8411474701
"133","ACDG_P015",45,25,-10942.0389341162
"134","ACDG_P015",45,50,-21761.4532118367
"135","ACDG_P015",45,100,-45488.758665065
