"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-17019.1461449144
"2","ACDG_P015",1,50,-34554.8412584562
"3","ACDG_P015",1,100,-71328.6678847248
"4","ACDG_P015",2,25,-16842.9785953653
"5","ACDG_P015",2,50,-37945.1333099388
"6","ACDG_P015",2,100,-72859.7701073216
"7","ACDG_P015",3,25,-16613.7954321516
"8","ACDG_P015",3,50,-34315.3087600549
"9","ACDG_P015",3,100,-73153.6969672207
"10","ACDG_P015",4,25,-17152.8441003317
"11","ACDG_P015",4,50,-36121.0188691435
"12","ACDG_P015",4,100,-73631.9185463761
"13","ACDG_P015",5,25,-18628.6813482091
"14","ACDG_P015",5,50,-40313.2642856114
"15","ACDG_P015",5,100,-79566.7062040095
"16","ACDG_P015",6,25,-18148.6039410099
"17","ACDG_P015",6,50,-34185.0273230355
"18","ACDG_P015",6,100,-68745.2091549137
"19","ACDG_P015",7,25,-18236.8337801291
"20","ACDG_P015",7,50,-33850.7985211739
"21","ACDG_P015",7,100,-70573.930798108
"22","ACDG_P015",8,25,-18150.2898890561
"23","ACDG_P015",8,50,-37952.0393708697
"24","ACDG_P015",8,100,-78177.8551245754
"25","ACDG_P015",9,25,-18834.7428238162
"26","ACDG_P015",9,50,-35633.7917403022
"27","ACDG_P015",9,100,-70600.6106000842
"28","ACDG_P015",10,25,-22479.8819132894
"29","ACDG_P015",10,50,-41796.6532385776
"30","ACDG_P015",10,100,-82991.2892531891
"31","ACDG_P015",11,25,-20695.0664292143
"32","ACDG_P015",11,50,-40758.8674609223
"33","ACDG_P015",11,100,-79947.9949615462
"34","ACDG_P015",12,25,-18964.1946198741
"35","ACDG_P015",12,50,-33013.7637860389
"36","ACDG_P015",12,100,-69075.1233416975
"37","ACDG_P015",13,25,-17443.6973627197
"38","ACDG_P015",13,50,-36022.162210464
"39","ACDG_P015",13,100,-73014.4274661202
"40","ACDG_P015",14,25,-17483.744809974
"41","ACDG_P015",14,50,-37624.0951422607
"42","ACDG_P015",14,100,-77948.9474930857
"43","ACDG_P015",15,25,-21405.8611385737
"44","ACDG_P015",15,50,-42965.739165912
"45","ACDG_P015",15,100,-80757.4654430596
"46","ACDG_P015",16,25,-21577.4148070416
"47","ACDG_P015",16,50,-40488.7127222134
"48","ACDG_P015",16,100,-78139.470404906
"49","ACDG_P015",17,25,-19889.1345123623
"50","ACDG_P015",17,50,-36438.1053088371
"51","ACDG_P015",17,100,-76514.284418696
"52","ACDG_P015",18,25,-19213.2321264223
"53","ACDG_P015",18,50,-37953.3732400996
"54","ACDG_P015",18,100,-75816.8308742987
"55","ACDG_P015",19,25,-19135.9991807869
"56","ACDG_P015",19,50,-36637.9255543359
"57","ACDG_P015",19,100,-75347.8952921214
"58","ACDG_P015",20,25,-17033.1122039731
"59","ACDG_P015",20,50,-36648.5542202254
"60","ACDG_P015",20,100,-70876.1822383821
"61","ACDG_P015",21,25,-18482.0961034449
"62","ACDG_P015",21,50,-33539.7071332685
"63","ACDG_P015",21,100,-70767.1882904065
"64","ACDG_P015",22,25,-15751.9984593407
"65","ACDG_P015",22,50,-35427.3315263584
"66","ACDG_P015",22,100,-70748.6380024902
"67","ACDG_P015",23,25,-16387.9524841772
"68","ACDG_P015",23,50,-35826.9758395101
"69","ACDG_P015",23,100,-69681.2734011867
"70","ACDG_P015",24,25,-19670.9686881233
"71","ACDG_P015",24,50,-43396.2802528769
"72","ACDG_P015",24,100,-82820.1306780248
"73","ACDG_P015",25,25,-19133.6529334705
"74","ACDG_P015",25,50,-34651.5392231387
"75","ACDG_P015",25,100,-70198.6211467549
"76","ACDG_P015",26,25,-15972.661969888
"77","ACDG_P015",26,50,-35197.8328874238
"78","ACDG_P015",26,100,-70325.6202397345
"79","ACDG_P015",27,25,-18510.7940129626
"80","ACDG_P015",27,50,-35926.9278984269
"81","ACDG_P015",27,100,-72646.4297908938
"82","ACDG_P015",28,25,-19060.3266841825
"83","ACDG_P015",28,50,-38201.1866754693
"84","ACDG_P015",28,100,-75458.5193509429
"85","ACDG_P015",29,25,-17894.0281201855
"86","ACDG_P015",29,50,-36724.6844815905
"87","ACDG_P015",29,100,-70373.0178217938
"88","ACDG_P015",30,25,-18188.1692941547
"89","ACDG_P015",30,50,-40560.6670647804
"90","ACDG_P015",30,100,-82090.9393726804
"91","ACDG_P015",31,25,-17768.0749238553
"92","ACDG_P015",31,50,-35084.4906221903
"93","ACDG_P015",31,100,-68656.4447404213
"94","ACDG_P015",32,25,-19093.5910034401
"95","ACDG_P015",32,50,-38759.8205944081
"96","ACDG_P015",32,100,-74839.4224872827
"97","ACDG_P015",33,25,-17625.3938546394
"98","ACDG_P015",33,50,-36190.3886200424
"99","ACDG_P015",33,100,-70976.5269588161
"100","ACDG_P015",34,25,-16411.2461206602
"101","ACDG_P015",34,50,-39891.252465306
"102","ACDG_P015",34,100,-76994.855401792
"103","ACDG_P015",35,25,-19451.8604962953
"104","ACDG_P015",35,50,-34949.6281543733
"105","ACDG_P015",35,100,-74902.5554132055
"106","ACDG_P015",36,25,-16837.9757123883
"107","ACDG_P015",36,50,-34577.4607133018
"108","ACDG_P015",36,100,-70217.3321210251
"109","ACDG_P015",37,25,-17528.7540952841
"110","ACDG_P015",37,50,-37316.0883913159
"111","ACDG_P015",37,100,-75320.3920451644
"112","ACDG_P015",38,25,-17387.2104078299
"113","ACDG_P015",38,50,-36316.8165747891
"114","ACDG_P015",38,100,-73028.2318129902
"115","ACDG_P015",39,25,-19018.3923594226
"116","ACDG_P015",39,50,-36046.6894948569
"117","ACDG_P015",39,100,-70589.2517882627
"118","ACDG_P015",40,25,-16236.5707166898
"119","ACDG_P015",40,50,-34410.8953931139
"120","ACDG_P015",40,100,-69980.220948511
"121","ACDG_P015",41,25,-20277.6674045756
"122","ACDG_P015",41,50,-35721.9339224896
"123","ACDG_P015",41,100,-74067.4875102691
"124","ACDG_P015",42,25,-19459.0542989555
"125","ACDG_P015",42,50,-40062.1006402139
"126","ACDG_P015",42,100,-77521.8740968973
