"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-24755.5213910755
"2","ACDG_P015",1,50,-50713.44542611
"3","ACDG_P015",1,100,-100068.316609936
"4","ACDG_P015",2,25,-26279.2253506011
"5","ACDG_P015",2,50,-51056.3774567408
"6","ACDG_P015",2,100,-99763.9898112084
"7","ACDG_P015",3,25,-27436.7395942892
"8","ACDG_P015",3,50,-55830.1903738477
"9","ACDG_P015",3,100,-110500.367500645
"10","ACDG_P015",4,25,-30000.7330500457
"11","ACDG_P015",4,50,-57141.697747963
"12","ACDG_P015",4,100,-110047.287164332
"13","ACDG_P015",5,25,-25491.7839657368
"14","ACDG_P015",5,50,-50501.1703885017
"15","ACDG_P015",5,100,-98808.2166769653
"16","ACDG_P015",6,25,-26742.1710182558
"17","ACDG_P015",6,50,-55138.7613425305
"18","ACDG_P015",6,100,-111942.170191441
"19","ACDG_P015",7,25,-25261.0549725566
"20","ACDG_P015",7,50,-49443.4335480174
"21","ACDG_P015",7,100,-101468.524745279
"22","ACDG_P015",8,25,-24302.5449551769
"23","ACDG_P015",8,50,-50593.7370827074
"24","ACDG_P015",8,100,-98846.7847265023
"25","ACDG_P015",9,25,-26063.1653639203
"26","ACDG_P015",9,50,-50576.3755663878
"27","ACDG_P015",9,100,-100639.322578857
"28","ACDG_P015",10,25,-24930.1766251805
"29","ACDG_P015",10,50,-49808.36398286
"30","ACDG_P015",10,100,-99146.4958116819
"31","ACDG_P015",11,25,-25407.906440851
"32","ACDG_P015",11,50,-49519.6362958214
"33","ACDG_P015",11,100,-100615.390891138
"34","ACDG_P015",12,25,-27882.63889798
"35","ACDG_P015",12,50,-55554.9979928184
"36","ACDG_P015",12,100,-110534.98061992
"37","ACDG_P015",13,25,-24327.0520282322
"38","ACDG_P015",13,50,-50925.7183850272
"39","ACDG_P015",13,100,-99347.6003597026
"40","ACDG_P015",14,25,-25289.8916653193
"41","ACDG_P015",14,50,-50472.5307031145
"42","ACDG_P015",14,100,-98538.8923260713
"43","ACDG_P015",15,25,-25165.8979536876
"44","ACDG_P015",15,50,-48808.7199704635
"45","ACDG_P015",15,100,-99838.0079404295
"46","ACDG_P015",16,25,-27892.421194644
"47","ACDG_P015",16,50,-55477.6232633277
"48","ACDG_P015",16,100,-110568.757614725
"49","ACDG_P015",17,25,-27619.8556463152
"50","ACDG_P015",17,50,-53475.0047009742
"51","ACDG_P015",17,100,-111586.813561508
"52","ACDG_P015",18,25,-28040.3098804435
"53","ACDG_P015",18,50,-55324.8668741582
"54","ACDG_P015",18,100,-110923.377212578
"55","ACDG_P015",19,25,-26837.656106353
"56","ACDG_P015",19,50,-54166.9550901339
"57","ACDG_P015",19,100,-110448.996567408
"58","ACDG_P015",20,25,-26974.7548404486
"59","ACDG_P015",20,50,-49987.9724999257
"60","ACDG_P015",20,100,-100307.339113391
"61","ACDG_P015",21,25,-26016.4764406123
"62","ACDG_P015",21,50,-50471.6076077152
"63","ACDG_P015",21,100,-99362.3198688181
"64","ACDG_P015",22,25,-26878.7782250008
"65","ACDG_P015",22,50,-55756.2847126296
"66","ACDG_P015",22,100,-110545.377542804
"67","ACDG_P015",23,25,-28635.1673654379
"68","ACDG_P015",23,50,-56176.9113440554
"69","ACDG_P015",23,100,-110659.769219796
"70","ACDG_P015",24,25,-25484.8957400923
"71","ACDG_P015",24,50,-50632.2804678913
"72","ACDG_P015",24,100,-99755.0008922552
"73","ACDG_P015",25,25,-27869.0499980704
"74","ACDG_P015",25,50,-55339.8747029431
"75","ACDG_P015",25,100,-111266.087046264
"76","ACDG_P015",26,25,-28568.9305366547
"77","ACDG_P015",26,50,-56256.5564798536
"78","ACDG_P015",26,100,-110218.560879447
"79","ACDG_P015",27,25,-27383.7721806093
"80","ACDG_P015",27,50,-53987.1091631084
"81","ACDG_P015",27,100,-111903.287361423
"82","ACDG_P015",28,25,-25477.3984927068
"83","ACDG_P015",28,50,-51845.1966371036
