"","Plot","Simulation","PercentRemoved","AGB_Change"
"1","ACDG_P015",1,25,-24755.5213910755
"2","ACDG_P015",1,50,-50713.44542611
"3","ACDG_P015",1,100,-100068.316609936
"4","ACDG_P015",2,25,-28285.5111882069
"5","ACDG_P015",2,50,-56258.2161492347
"6","ACDG_P015",2,100,-108789.044073386
"7","ACDG_P015",3,25,-25529.7269255128
"8","ACDG_P015",3,50,-48122.2744882911
"9","ACDG_P015",3,100,-99933.584554447
"10","ACDG_P015",4,25,-26528.2300891219
"11","ACDG_P015",4,50,-48690.025797777
"12","ACDG_P015",4,100,-98863.5031377254
"13","ACDG_P015",5,25,-25491.7839657368
"14","ACDG_P015",5,50,-50501.1703885017
"15","ACDG_P015",5,100,-98808.2166769653
"16","ACDG_P015",6,25,-26313.5531913303
"17","ACDG_P015",6,50,-51034.342772873
"18","ACDG_P015",6,100,-99865.5118401798
"19","ACDG_P015",7,25,-27553.8019259141
"20","ACDG_P015",7,50,-55339.0674395634
"21","ACDG_P015",7,100,-110739.635773772
"22","ACDG_P015",8,25,-24302.5449551769
"23","ACDG_P015",8,50,-50593.7370827074
"24","ACDG_P015",8,100,-98846.7847265023
"25","ACDG_P015",9,25,-26063.1653639203
"26","ACDG_P015",9,50,-50576.3755663878
"27","ACDG_P015",9,100,-100639.322578857
"28","ACDG_P015",10,25,-27440.7615596025
"29","ACDG_P015",10,50,-57302.1487806393
"30","ACDG_P015",10,100,-109207.625852393
"31","ACDG_P015",11,25,-26466.65625267
"32","ACDG_P015",11,50,-50696.6350726763
"33","ACDG_P015",11,100,-98536.6509930782
"34","ACDG_P015",12,25,-26687.971888035
"35","ACDG_P015",12,50,-57521.210928243
"36","ACDG_P015",12,100,-112225.671377336
"37","ACDG_P015",13,25,-27513.5148441699
"38","ACDG_P015",13,50,-57035.0218609055
"39","ACDG_P015",13,100,-110829.925619153
"40","ACDG_P015",14,25,-28413.3618850877
"41","ACDG_P015",14,50,-55271.6834594699
"42","ACDG_P015",14,100,-110584.24553059
"43","ACDG_P015",15,25,-26446.2751718701
"44","ACDG_P015",15,50,-49907.0293548822
"45","ACDG_P015",15,100,-98408.4973511936
"46","ACDG_P015",16,25,-27892.421194644
"47","ACDG_P015",16,50,-55477.6232633277
"48","ACDG_P015",16,100,-110568.757614725
"49","ACDG_P015",17,25,-28202.4779456077
"50","ACDG_P015",17,50,-54725.1119146947
"51","ACDG_P015",17,100,-110304.328108759
"52","ACDG_P015",18,25,-27758.884222566
"53","ACDG_P015",18,50,-55510.3307375035
"54","ACDG_P015",18,100,-109956.123417655
"55","ACDG_P015",19,25,-26492.0864028395
"56","ACDG_P015",19,50,-56924.5085108793
"57","ACDG_P015",19,100,-111298.702211108
"58","ACDG_P015",20,25,-26974.7548404486
"59","ACDG_P015",20,50,-49987.9724999257
"60","ACDG_P015",20,100,-100307.339113391
"61","ACDG_P015",21,25,-28656.7948851873
"62","ACDG_P015",21,50,-56860.8934767746
"63","ACDG_P015",21,100,-110125.027006544
"64","ACDG_P015",22,25,-24168.4315929226
"65","ACDG_P015",22,50,-52550.6958248775
"66","ACDG_P015",22,100,-100167.691730474
"67","ACDG_P015",23,25,-28573.4358676667
"68","ACDG_P015",23,50,-55437.4992434809
"69","ACDG_P015",23,100,-110538.503262459
"70","ACDG_P015",24,25,-29187.6267706088
"71","ACDG_P015",24,50,-55624.1520461681
"72","ACDG_P015",24,100,-109212.56503446
"73","ACDG_P015",25,25,-27869.0499980704
"74","ACDG_P015",25,50,-55339.8747029431
"75","ACDG_P015",25,100,-111266.087046264
"76","ACDG_P015",26,25,-28568.9305366547
"77","ACDG_P015",26,50,-56256.5564798536
"78","ACDG_P015",26,100,-110218.560879447
"79","ACDG_P015",27,25,-26083.0694000455
"80","ACDG_P015",27,50,-55126.6815283005
"81","ACDG_P015",27,100,-109764.939083124
"82","ACDG_P015",28,25,-28098.3108380818
"83","ACDG_P015",28,50,-55257.2243289984
